"Town","FIPS","Year","Month","Admission Type","Measure Type","Variable","Value"
"Colebrook","0900516050","2013","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2013","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2013","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2013","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2013","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2014","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2014","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2014","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2014","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2014","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2014","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2014","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2014","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2014","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2014","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2014","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2014","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2015","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2015","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2015","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2015","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2015","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2015","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2015","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2015","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2015","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2015","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2015","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2015","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2016","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2016","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2016","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2016","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2016","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2016","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Colebrook","0900516050","2016","July","Substance Abuse","Number","DMHAS Admissions",0
"Colebrook","0900516050","2016","August","Substance Abuse","Number","DMHAS Admissions",0
"Colebrook","0900516050","2016","September","Substance Abuse","Number","DMHAS Admissions",0
"Colebrook","0900516050","2016","October","Substance Abuse","Number","DMHAS Admissions",0
"Colebrook","0900516050","2016","November","Substance Abuse","Number","DMHAS Admissions",0
"Colebrook","0900516050","2016","December","Substance Abuse","Number","DMHAS Admissions",0
"Columbia","0901316400","2013","January","Substance Abuse","Number","DMHAS Admissions",0
"Columbia","0901316400","2013","February","Substance Abuse","Number","DMHAS Admissions",0
"Columbia","0901316400","2013","March","Substance Abuse","Number","DMHAS Admissions",0
"Columbia","0901316400","2013","April","Substance Abuse","Number","DMHAS Admissions",0
"Columbia","0901316400","2013","May","Substance Abuse","Number","DMHAS Admissions",0
"Columbia","0901316400","2013","June","Substance Abuse","Number","DMHAS Admissions",0
"Columbia","0901316400","2013","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2013","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2013","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2013","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2013","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2013","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2014","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2014","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2014","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2014","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2014","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2014","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2014","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2014","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2014","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2014","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2014","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2014","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2015","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2015","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2015","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2015","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2015","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2015","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2015","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2015","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2015","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2015","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2015","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2015","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2016","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2016","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2016","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2016","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2016","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2016","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Columbia","0901316400","2016","July","Substance Abuse","Number","DMHAS Admissions",0
"Columbia","0901316400","2016","August","Substance Abuse","Number","DMHAS Admissions",0
"Columbia","0901316400","2016","September","Substance Abuse","Number","DMHAS Admissions",0
"Columbia","0901316400","2016","October","Substance Abuse","Number","DMHAS Admissions",0
"Columbia","0901316400","2016","November","Substance Abuse","Number","DMHAS Admissions",0
"Columbia","0901316400","2016","December","Substance Abuse","Number","DMHAS Admissions",0
"Cornwall","0900517240","2013","January","Substance Abuse","Number","DMHAS Admissions",0
"Cornwall","0900517240","2013","February","Substance Abuse","Number","DMHAS Admissions",0
"Cornwall","0900517240","2013","March","Substance Abuse","Number","DMHAS Admissions",0
"Cornwall","0900517240","2013","April","Substance Abuse","Number","DMHAS Admissions",0
"Cornwall","0900517240","2013","May","Substance Abuse","Number","DMHAS Admissions",0
"Cornwall","0900517240","2013","June","Substance Abuse","Number","DMHAS Admissions",0
"Cornwall","0900517240","2013","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2013","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2013","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2013","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2013","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2013","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2014","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2014","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2014","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2014","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2014","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2014","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2014","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2014","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2014","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2014","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2014","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2014","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2015","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2015","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2015","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2015","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2015","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2015","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2015","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2015","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2015","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2015","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2015","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2015","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2016","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2016","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2016","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2016","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2016","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2016","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Cornwall","0900517240","2016","July","Substance Abuse","Number","DMHAS Admissions",0
"Cornwall","0900517240","2016","August","Substance Abuse","Number","DMHAS Admissions",0
"Cornwall","0900517240","2016","September","Substance Abuse","Number","DMHAS Admissions",0
"Cornwall","0900517240","2016","October","Substance Abuse","Number","DMHAS Admissions",0
"Cornwall","0900517240","2016","November","Substance Abuse","Number","DMHAS Admissions",0
"Cornwall","0900517240","2016","December","Substance Abuse","Number","DMHAS Admissions",0
"Coventry","0901317800","2013","January","Substance Abuse","Number","DMHAS Admissions",0
"Coventry","0901317800","2013","February","Substance Abuse","Number","DMHAS Admissions",0
"Coventry","0901317800","2013","March","Substance Abuse","Number","DMHAS Admissions",0
"Coventry","0901317800","2013","April","Substance Abuse","Number","DMHAS Admissions",0
"Coventry","0901317800","2013","May","Substance Abuse","Number","DMHAS Admissions",0
"Coventry","0901317800","2013","June","Substance Abuse","Number","DMHAS Admissions",0
"Coventry","0901317800","2013","July","Substance Abuse","Number","DMHAS Admissions",9
"Coventry","0901317800","2013","August","Substance Abuse","Number","DMHAS Admissions",12
"Coventry","0901317800","2013","September","Substance Abuse","Number","DMHAS Admissions",14
"Coventry","0901317800","2013","October","Substance Abuse","Number","DMHAS Admissions",28
"Coventry","0901317800","2013","November","Substance Abuse","Number","DMHAS Admissions",8
"Coventry","0901317800","2013","December","Substance Abuse","Number","DMHAS Admissions",20
"Coventry","0901317800","2014","January","Substance Abuse","Number","DMHAS Admissions",19
"Coventry","0901317800","2014","February","Substance Abuse","Number","DMHAS Admissions",17
"Coventry","0901317800","2014","March","Substance Abuse","Number","DMHAS Admissions",22
"Coventry","0901317800","2014","April","Substance Abuse","Number","DMHAS Admissions",19
"Coventry","0901317800","2014","May","Substance Abuse","Number","DMHAS Admissions",16
"Coventry","0901317800","2014","June","Substance Abuse","Number","DMHAS Admissions",18
"Coventry","0901317800","2014","July","Substance Abuse","Number","DMHAS Admissions",17
"Coventry","0901317800","2014","August","Substance Abuse","Number","DMHAS Admissions",17
"Coventry","0901317800","2014","September","Substance Abuse","Number","DMHAS Admissions",16
"Coventry","0901317800","2014","October","Substance Abuse","Number","DMHAS Admissions",17
"Coventry","0901317800","2014","November","Substance Abuse","Number","DMHAS Admissions",19
"Coventry","0901317800","2014","December","Substance Abuse","Number","DMHAS Admissions",16
"Coventry","0901317800","2015","January","Substance Abuse","Number","DMHAS Admissions",10
"Coventry","0901317800","2015","February","Substance Abuse","Number","DMHAS Admissions",18
"Coventry","0901317800","2015","March","Substance Abuse","Number","DMHAS Admissions",25
"Coventry","0901317800","2015","April","Substance Abuse","Number","DMHAS Admissions",21
"Coventry","0901317800","2015","May","Substance Abuse","Number","DMHAS Admissions",10
"Coventry","0901317800","2015","June","Substance Abuse","Number","DMHAS Admissions",17
"Coventry","0901317800","2015","July","Substance Abuse","Number","DMHAS Admissions",25
"Coventry","0901317800","2015","August","Substance Abuse","Number","DMHAS Admissions",13
"Coventry","0901317800","2015","September","Substance Abuse","Number","DMHAS Admissions",19
"Coventry","0901317800","2015","October","Substance Abuse","Number","DMHAS Admissions",13
"Coventry","0901317800","2015","November","Substance Abuse","Number","DMHAS Admissions",15
"Coventry","0901317800","2015","December","Substance Abuse","Number","DMHAS Admissions",14
"Coventry","0901317800","2016","January","Substance Abuse","Number","DMHAS Admissions",14
"Coventry","0901317800","2016","February","Substance Abuse","Number","DMHAS Admissions",15
"Coventry","0901317800","2016","March","Substance Abuse","Number","DMHAS Admissions",14
"Coventry","0901317800","2016","April","Substance Abuse","Number","DMHAS Admissions",17
"Coventry","0901317800","2016","May","Substance Abuse","Number","DMHAS Admissions",15
"Coventry","0901317800","2016","June","Substance Abuse","Number","DMHAS Admissions",18
"Coventry","0901317800","2016","July","Substance Abuse","Number","DMHAS Admissions",0
"Coventry","0901317800","2016","August","Substance Abuse","Number","DMHAS Admissions",0
"Coventry","0901317800","2016","September","Substance Abuse","Number","DMHAS Admissions",0
"Coventry","0901317800","2016","October","Substance Abuse","Number","DMHAS Admissions",0
"Coventry","0901317800","2016","November","Substance Abuse","Number","DMHAS Admissions",0
"Coventry","0901317800","2016","December","Substance Abuse","Number","DMHAS Admissions",0
"Cromwell","0900718080","2013","January","Substance Abuse","Number","DMHAS Admissions",0
"Cromwell","0900718080","2013","February","Substance Abuse","Number","DMHAS Admissions",0
"Cromwell","0900718080","2013","March","Substance Abuse","Number","DMHAS Admissions",0
"Cromwell","0900718080","2013","April","Substance Abuse","Number","DMHAS Admissions",0
"Cromwell","0900718080","2013","May","Substance Abuse","Number","DMHAS Admissions",0
"Cromwell","0900718080","2013","June","Substance Abuse","Number","DMHAS Admissions",0
"Cromwell","0900718080","2013","July","Substance Abuse","Number","DMHAS Admissions",7
"Cromwell","0900718080","2013","August","Substance Abuse","Number","DMHAS Admissions",14
"Cromwell","0900718080","2013","September","Substance Abuse","Number","DMHAS Admissions",12
"Cromwell","0900718080","2013","October","Substance Abuse","Number","DMHAS Admissions",25
"Cromwell","0900718080","2013","November","Substance Abuse","Number","DMHAS Admissions",21
"Cromwell","0900718080","2013","December","Substance Abuse","Number","DMHAS Admissions",15
"Cromwell","0900718080","2014","January","Substance Abuse","Number","DMHAS Admissions",25
"Cromwell","0900718080","2014","February","Substance Abuse","Number","DMHAS Admissions",16
"Cromwell","0900718080","2014","March","Substance Abuse","Number","DMHAS Admissions",21
"Cromwell","0900718080","2014","April","Substance Abuse","Number","DMHAS Admissions",28
"Cromwell","0900718080","2014","May","Substance Abuse","Number","DMHAS Admissions",15
"Cromwell","0900718080","2014","June","Substance Abuse","Number","DMHAS Admissions",26
"Cromwell","0900718080","2014","July","Substance Abuse","Number","DMHAS Admissions",29
"Cromwell","0900718080","2014","August","Substance Abuse","Number","DMHAS Admissions",14
"Cromwell","0900718080","2014","September","Substance Abuse","Number","DMHAS Admissions",24
"Cromwell","0900718080","2014","October","Substance Abuse","Number","DMHAS Admissions",16
"Cromwell","0900718080","2014","November","Substance Abuse","Number","DMHAS Admissions",18
"Cromwell","0900718080","2014","December","Substance Abuse","Number","DMHAS Admissions",25
"Cromwell","0900718080","2015","January","Substance Abuse","Number","DMHAS Admissions",18
"Cromwell","0900718080","2015","February","Substance Abuse","Number","DMHAS Admissions",17
"Cromwell","0900718080","2015","March","Substance Abuse","Number","DMHAS Admissions",27
"Cromwell","0900718080","2015","April","Substance Abuse","Number","DMHAS Admissions",15
"Cromwell","0900718080","2015","May","Substance Abuse","Number","DMHAS Admissions",28
"Cromwell","0900718080","2015","June","Substance Abuse","Number","DMHAS Admissions",14
"Cromwell","0900718080","2015","July","Substance Abuse","Number","DMHAS Admissions",23
"Cromwell","0900718080","2015","August","Substance Abuse","Number","DMHAS Admissions",16
"Cromwell","0900718080","2015","September","Substance Abuse","Number","DMHAS Admissions",12
"Cromwell","0900718080","2015","October","Substance Abuse","Number","DMHAS Admissions",19
"Cromwell","0900718080","2015","November","Substance Abuse","Number","DMHAS Admissions",17
"Cromwell","0900718080","2015","December","Substance Abuse","Number","DMHAS Admissions",10
"Cromwell","0900718080","2016","January","Substance Abuse","Number","DMHAS Admissions",22
"Cromwell","0900718080","2016","February","Substance Abuse","Number","DMHAS Admissions",23
"Cromwell","0900718080","2016","March","Substance Abuse","Number","DMHAS Admissions",24
"Cromwell","0900718080","2016","April","Substance Abuse","Number","DMHAS Admissions",28
"Cromwell","0900718080","2016","May","Substance Abuse","Number","DMHAS Admissions",23
"Cromwell","0900718080","2016","June","Substance Abuse","Number","DMHAS Admissions",17
"Cromwell","0900718080","2016","July","Substance Abuse","Number","DMHAS Admissions",0
"Cromwell","0900718080","2016","August","Substance Abuse","Number","DMHAS Admissions",0
"Cromwell","0900718080","2016","September","Substance Abuse","Number","DMHAS Admissions",0
"Cromwell","0900718080","2016","October","Substance Abuse","Number","DMHAS Admissions",0
"Cromwell","0900718080","2016","November","Substance Abuse","Number","DMHAS Admissions",0
"Cromwell","0900718080","2016","December","Substance Abuse","Number","DMHAS Admissions",0
"Danbury","0900118500","2013","January","Substance Abuse","Number","DMHAS Admissions",0
"Danbury","0900118500","2013","February","Substance Abuse","Number","DMHAS Admissions",0
"Danbury","0900118500","2013","March","Substance Abuse","Number","DMHAS Admissions",0
"Danbury","0900118500","2013","April","Substance Abuse","Number","DMHAS Admissions",0
"Danbury","0900118500","2013","May","Substance Abuse","Number","DMHAS Admissions",0
"Danbury","0900118500","2013","June","Substance Abuse","Number","DMHAS Admissions",0
"Danbury","0900118500","2013","July","Substance Abuse","Number","DMHAS Admissions",155
"Danbury","0900118500","2013","August","Substance Abuse","Number","DMHAS Admissions",155
"Danbury","0900118500","2013","September","Substance Abuse","Number","DMHAS Admissions",146
"Danbury","0900118500","2013","October","Substance Abuse","Number","DMHAS Admissions",162
"Danbury","0900118500","2013","November","Substance Abuse","Number","DMHAS Admissions",103
"Danbury","0900118500","2013","December","Substance Abuse","Number","DMHAS Admissions",154
"Danbury","0900118500","2014","January","Substance Abuse","Number","DMHAS Admissions",167
"Danbury","0900118500","2014","February","Substance Abuse","Number","DMHAS Admissions",133
"Danbury","0900118500","2014","March","Substance Abuse","Number","DMHAS Admissions",139
"Danbury","0900118500","2014","April","Substance Abuse","Number","DMHAS Admissions",165
"Danbury","0900118500","2014","May","Substance Abuse","Number","DMHAS Admissions",168
"Danbury","0900118500","2014","June","Substance Abuse","Number","DMHAS Admissions",173
"Danbury","0900118500","2014","July","Substance Abuse","Number","DMHAS Admissions",147
"Danbury","0900118500","2014","August","Substance Abuse","Number","DMHAS Admissions",151
"Danbury","0900118500","2014","September","Substance Abuse","Number","DMHAS Admissions",150
"Danbury","0900118500","2014","October","Substance Abuse","Number","DMHAS Admissions",167
"Danbury","0900118500","2014","November","Substance Abuse","Number","DMHAS Admissions",129
"Danbury","0900118500","2014","December","Substance Abuse","Number","DMHAS Admissions",151
"Danbury","0900118500","2015","January","Substance Abuse","Number","DMHAS Admissions",156
"Danbury","0900118500","2015","February","Substance Abuse","Number","DMHAS Admissions",158
"Danbury","0900118500","2015","March","Substance Abuse","Number","DMHAS Admissions",162
"Danbury","0900118500","2015","April","Substance Abuse","Number","DMHAS Admissions",142
"Danbury","0900118500","2015","May","Substance Abuse","Number","DMHAS Admissions",152
"Danbury","0900118500","2015","June","Substance Abuse","Number","DMHAS Admissions",153
"Danbury","0900118500","2015","July","Substance Abuse","Number","DMHAS Admissions",186
"Danbury","0900118500","2015","August","Substance Abuse","Number","DMHAS Admissions",146
"Danbury","0900118500","2015","September","Substance Abuse","Number","DMHAS Admissions",167
"Danbury","0900118500","2015","October","Substance Abuse","Number","DMHAS Admissions",146
"Danbury","0900118500","2015","November","Substance Abuse","Number","DMHAS Admissions",122
"Danbury","0900118500","2015","December","Substance Abuse","Number","DMHAS Admissions",122
"Danbury","0900118500","2016","January","Substance Abuse","Number","DMHAS Admissions",170
"Danbury","0900118500","2016","February","Substance Abuse","Number","DMHAS Admissions",167
"Danbury","0900118500","2016","March","Substance Abuse","Number","DMHAS Admissions",164
"Danbury","0900118500","2016","April","Substance Abuse","Number","DMHAS Admissions",127
"Danbury","0900118500","2016","May","Substance Abuse","Number","DMHAS Admissions",154
"Danbury","0900118500","2016","June","Substance Abuse","Number","DMHAS Admissions",185
"Danbury","0900118500","2016","July","Substance Abuse","Number","DMHAS Admissions",0
"Danbury","0900118500","2016","August","Substance Abuse","Number","DMHAS Admissions",0
"Danbury","0900118500","2016","September","Substance Abuse","Number","DMHAS Admissions",0
"Danbury","0900118500","2016","October","Substance Abuse","Number","DMHAS Admissions",0
"Danbury","0900118500","2016","November","Substance Abuse","Number","DMHAS Admissions",0
"Danbury","0900118500","2016","December","Substance Abuse","Number","DMHAS Admissions",0
"Darien","0900118850","2013","January","Substance Abuse","Number","DMHAS Admissions",0
"Darien","0900118850","2013","February","Substance Abuse","Number","DMHAS Admissions",0
"Darien","0900118850","2013","March","Substance Abuse","Number","DMHAS Admissions",0
"Darien","0900118850","2013","April","Substance Abuse","Number","DMHAS Admissions",0
"Darien","0900118850","2013","May","Substance Abuse","Number","DMHAS Admissions",0
"Darien","0900118850","2013","June","Substance Abuse","Number","DMHAS Admissions",0
"Darien","0900118850","2013","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2013","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2013","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2013","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2013","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2013","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2014","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2014","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2014","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2014","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2014","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2014","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2014","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2014","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2014","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2014","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2014","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2014","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2015","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2015","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2015","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2015","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2015","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2015","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2015","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2015","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2015","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2015","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2015","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2015","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2016","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2016","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2016","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2016","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2016","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2016","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Darien","0900118850","2016","July","Substance Abuse","Number","DMHAS Admissions",0
"Darien","0900118850","2016","August","Substance Abuse","Number","DMHAS Admissions",0
"Darien","0900118850","2016","September","Substance Abuse","Number","DMHAS Admissions",0
"Darien","0900118850","2016","October","Substance Abuse","Number","DMHAS Admissions",0
"Darien","0900118850","2016","November","Substance Abuse","Number","DMHAS Admissions",0
"Darien","0900118850","2016","December","Substance Abuse","Number","DMHAS Admissions",0
"Deep River","0900719130","2013","January","Substance Abuse","Number","DMHAS Admissions",0
"Deep River","0900719130","2013","February","Substance Abuse","Number","DMHAS Admissions",0
"Deep River","0900719130","2013","March","Substance Abuse","Number","DMHAS Admissions",0
"Deep River","0900719130","2013","April","Substance Abuse","Number","DMHAS Admissions",0
"Deep River","0900719130","2013","May","Substance Abuse","Number","DMHAS Admissions",0
"Deep River","0900719130","2013","June","Substance Abuse","Number","DMHAS Admissions",0
"Deep River","0900719130","2013","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Deep River","0900719130","2013","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Deep River","0900719130","2013","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Deep River","0900719130","2013","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Deep River","0900719130","2013","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Deep River","0900719130","2013","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Deep River","0900719130","2014","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Deep River","0900719130","2014","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Deep River","0900719130","2014","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Deep River","0900719130","2014","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Deep River","0900719130","2014","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Deep River","0900719130","2014","June","Substance Abuse","Number","DMHAS Admissions",-9999
